CHOPER,CHFLTN,CHOPERD,CHSTOL,CHPTOL,CHAORD,CHLOC1,CHLOC1D,CHLOC1TH,CHLOC1T,CHLOC1CH,CHLOCCT,CHTERM,CHCINT,CHCKZN,CHRMINE,CHRMINH
BZ,112,BLUE BIRD AIRWAYS,2024-07-11T14:40:00,2024-07-11T14:40:00,D,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,,,ON TIME,בזמן
BZ,802,BLUE BIRD AIRWAYS,2024-07-11T14:40:00,2024-07-11T14:40:00,D,KGS,KOS,קוס,KOS,יוון,GREECE,3,,,ON TIME,בזמן
6H,251,ISRAIR AIRLINES,2024-07-11T14:40:00,2024-07-11T14:40:00,D,BER,BERLIN BRANDENBURG INTL,ברלין,BERLIN,גרמניה,GERMANY,1,,,ON TIME,בזמן
AF,958,AIR FRANCE,2024-07-11T14:45:00,2024-07-11T14:45:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,NOT FINAL,לא סופי
DL,8457,DELTA AIRLINES,2024-07-11T14:45:00,2024-07-11T14:45:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,NOT FINAL,לא סופי
LY,355,EL AL ISRAEL AIRLINES,2024-07-11T14:45:00,2024-07-11T14:45:00,D,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,,,ON TIME,בזמן
LY,9846,EL AL ISRAEL AIRLINES,2024-07-11T14:45:00,2024-07-11T14:45:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,NOT FINAL,לא סופי
SK,3179,SAS,2024-07-11T14:45:00,2024-07-11T14:45:00,D,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,,,ON TIME,בזמן
6H,178,ISRAIR AIRLINES,2024-07-11T14:45:00,2024-07-11T14:45:00,A,TIV,TIVAT,טיבאת,TIVAT,מונטנגרו,MONTENEGRO,3,,,NOT FINAL,לא סופי
EK,2448,EMIRATES,2024-07-11T14:50:00,2024-07-11T14:50:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,NOT FINAL,לא סופי
FZ,1081,FLYDUBAI,2024-07-11T14:50:00,2024-07-11T14:50:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,NOT FINAL,לא סופי
SN,3289,BRUSSELS AIRLINES,2024-07-11T14:50:00,2024-07-11T14:50:00,A,BRU,BRUSSELS,בריסל,BRUSSELS,בלגיה,BELGIUM,3,,,NOT FINAL,לא סופי
W9,5301,WIZZ UK,2024-07-11T14:55:00,2024-07-11T14:55:00,A,LTN,LUTON,לונדון לוטון,LONDON LUTON,בריטניה,UNITED KINGDOM,3,,,NOT FINAL,לא סופי
LY,362,EL AL ISRAEL AIRLINES,2024-07-11T15:00:00,2024-07-11T15:00:00,A,VIE,VIENNA,וינה,VIENNA,אוסטריה,AUSTRIA,3,,,NOT FINAL,לא סופי
BA,402,BRITISH AIRWAYS PLC,2024-07-11T15:05:00,2024-07-11T15:05:00,A,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,,,NOT FINAL,לא סופי
IZ,281,ARKIA  ISRAELI  AIRLINES,2024-07-11T15:05:00,2024-07-11T15:05:00,D,PRG,PRAGUE-RUZYNE,פראג,PRAGUE,צ'כיה,CZECH REPUBLIC,1,,,ON TIME,בזמן
LY,354,EL AL ISRAEL AIRLINES,2024-07-11T15:05:00,2024-07-11T15:05:00,A,MUC,MUNICH,מינכן,MUNICH,גרמניה,GERMANY,3,,,NOT FINAL,לא סופי
G2,207,GULLIVAIR,2024-07-11T15:15:00,2024-07-11T15:15:00,A,PFO,PAPHOS,פאפוס,PAPHOS,קפריסין,CYPRUS,3,,,NOT FINAL,לא סופי
