CHOPER,CHFLTN,CHOPERD,CHSTOL,CHPTOL,CHAORD,CHLOC1,CHLOC1D,CHLOC1TH,CHLOC1T,CHLOC1CH,CHLOCCT,CHTERM,CHCINT,CHCKZN,CHRMINE,CHRMINH
BZ,757,BLUE BIRD AIRWAYS,2024-07-07T18:20:00,2024-07-07T18:20:00,A,HER,HERAKLION,הרקליון,HERAKLION,יוון,GREECE,3,,,CANCELED,מבוטלת
EK,2470,EMIRATES,2024-07-07T18:40:00,2024-07-07T18:20:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,LANDED,נחתה
FZ,1125,FLYDUBAI,2024-07-07T18:40:00,2024-07-07T18:20:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,LANDED,נחתה
B6,6460,JETBLUE AIRWAYS CORPORATION,2024-07-07T19:20:00,2024-07-07T18:21:00,A,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,,,LANDED,נחתה
DL,7434,DELTA AIRLINES,2024-07-07T19:20:00,2024-07-07T18:21:00,A,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,,,LANDED,נחתה
LY,014,EL AL ISRAEL AIRLINES,2024-07-07T19:20:00,2024-07-07T18:21:00,A,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,,,LANDED,נחתה
6H,045,ISRAIR AIRLINES,2024-07-07T17:40:00,2024-07-07T18:24:00,D,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,1,355-360,C,DEPARTED,המריאה
DL,7440,DELTA AIRLINES,2024-07-07T19:00:00,2024-07-07T18:27:00,A,FLL,FORT LAUDERDALE,פורט לאודרדייל,FORT LAUDERDALE,ארצות הברית,UNITED STATES,3,,,LANDED,נחתה
LY,022,EL AL ISRAEL AIRLINES,2024-07-07T19:00:00,2024-07-07T18:27:00,A,FLL,FORT LAUDERDALE,פורט לאודרדייל,FORT LAUDERDALE,ארצות הברית,UNITED STATES,3,,,LANDED,נחתה
LY,5115,EL AL ISRAEL AIRLINES,2024-07-07T17:55:00,2024-07-07T18:37:00,D,EFL,KEFALLINIA,קפלוניה,KEFALONIA,יוון,GREECE,1,301-308,A,DEPARTED,המריאה
6H,711,ISRAIR AIRLINES,2024-07-07T18:00:00,2024-07-07T18:39:00,D,VAR,VARNA,וארנה,VARNA,בולגריה,BULGARIA,3,52-55,B,DEPARTED,המריאה
LY,571,EL AL ISRAEL AIRLINES,2024-07-07T18:30:00,2024-07-07T18:40:00,D,OTP,BUCHAREST - OTOPENI,בוקרשט,BUCHAREST,רומניה,ROMANIA,3,78-99,D,DEPARTED,המריאה
IB,2390,IBERIA,2024-07-07T17:45:00,2024-07-07T18:42:00,D,BCN,BARCELONA,ברצלונה,BARCELONA,ספרד,SPAIN,3,78-99,D,DEPARTED,המריאה
LY,391,EL AL ISRAEL AIRLINES,2024-07-07T17:45:00,2024-07-07T18:42:00,D,BCN,BARCELONA,ברצלונה,BARCELONA,ספרד,SPAIN,3,78-99,D,DEPARTED,המריאה
IZ,821,ARKIA  ISRAELI  AIRLINES,2024-07-07T18:15:00,2024-07-07T18:44:00,D,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,1,349-354,C,DEPARTED,המריאה
LY,5168,EL AL ISRAEL AIRLINES,2024-07-07T18:35:00,2024-07-07T18:45:00,A,TIV,TIVAT,טיבאת,TIVAT,מונטנגרו,MONTENEGRO,3,,,LANDED,נחתה
LX,253,SWISS INT`L  AIRLINES,2024-07-07T18:15:00,2024-07-07T18:48:00,D,ZRH,ZURICH,ציריך,ZURICH,שוויץ,SWITZERLAND,3,12-22,A,DEPARTED,המריאה
6H,729,ISRAIR AIRLINES,2024-07-07T18:10:00,2024-07-07T18:50:00,D,BOJ,BURGAS,בורגס,BOURGAS,בולגריה,BULGARIA,3,49-52,B,DEPARTED,המריאה
AF,6175,AIR FRANCE,2024-07-07T18:40:00,2024-07-07T18:51:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,LANDED,נחתה
LY,222,EL AL ISRAEL AIRLINES,2024-07-07T18:40:00,2024-07-07T18:51:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,LANDED,נחתה
LY,2523,EL AL ISRAEL AIRLINES,2024-07-07T17:55:00,2024-07-07T18:53:00,D,PRG,PRAGUE-RUZYNE,פראג,PRAGUE,צ'כיה,CZECH REPUBLIC,3,78-99,D,DEPARTED,המריאה
I2,3981,IBERIA EXPRESS,2024-07-07T18:35:00,2024-07-07T18:55:00,D,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,46-48,B,DEPARTED,המריאה
LY,8389,EL AL ISRAEL AIRLINES,2024-07-07T18:35:00,2024-07-07T18:55:00,D,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,46-48,B,DEPARTED,המריאה
LY,5183,EL AL ISRAEL AIRLINES,2024-07-07T18:30:00,2024-07-07T18:58:00,D,BUS,BATUMI,בטומי,BATUMI,גיאורגיה,GEORGIA,3,78-99,D,DEPARTED,המריאה
LY,5142,EL AL ISRAEL AIRLINES,2024-07-07T19:15:00,2024-07-07T18:59:00,A,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,,,LANDED,נחתה
U8,109,TUS AIRWAYS,2024-07-07T19:10:00,2024-07-07T19:09:00,D,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,40-43,B,DEPARTED,המריאה
OS,861,AUSTRIAN AIRLINES,2024-07-07T17:40:00,2024-07-07T19:16:00,A,VIE,VIENNA,וינה,VIENNA,אוסטריה,AUSTRIA,3,,,LANDED,נחתה
BZ,758,BLUE BIRD AIRWAYS,2024-07-07T19:20:00,2024-07-07T19:20:00,D,HER,HERAKLION,הרקליון,HERAKLION,יוון,GREECE,3,34-36,B,CANCELED,מבוטלת
LY,387,EL AL ISRAEL AIRLINES,2024-07-07T18:30:00,2024-07-07T19:23:00,D,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,78-99,D,DEPARTED,המריאה
SK,3183,SAS,2024-07-07T18:30:00,2024-07-07T19:23:00,D,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,78-99,D,DEPARTED,המריאה
TP,8938,AIR PORTUGAL,2024-07-07T18:30:00,2024-07-07T19:23:00,D,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,78-99,D,DEPARTED,המריאה
AF,7071,AIR FRANCE,2024-07-07T19:20:00,2024-07-07T19:31:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,78-99,D,DEPARTED,המריאה
AM,7853,AERO MEXICO,2024-07-07T19:20:00,2024-07-07T19:31:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,78-99,D,DEPARTED,המריאה
LY,325,EL AL ISRAEL AIRLINES,2024-07-07T19:20:00,2024-07-07T19:31:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,78-99,D,DEPARTED,המריאה
AI,139,AIR INDIA,2024-07-07T20:25:00,2024-07-07T19:36:00,A,DEL,DELHI,דלהי,NEW DELHI,הודו,INDIA,3,,,LANDED,נחתה
AR,7879,AEROLINEAS ARGENTINAS S.A.,2024-07-07T18:00:00,2024-07-07T19:38:00,D,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,78-99,D,DEPARTED,המריאה
LY,383,EL AL ISRAEL AIRLINES,2024-07-07T18:00:00,2024-07-07T19:38:00,D,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,78-99,D,DEPARTED,המריאה
SK,3169,SAS,2024-07-07T18:00:00,2024-07-07T19:38:00,D,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,78-99,D,DEPARTED,המריאה
TP,8900,AIR PORTUGAL,2024-07-07T18:00:00,2024-07-07T19:38:00,D,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,78-99,D,DEPARTED,המריאה
AM,7865,AERO MEXICO,2024-07-07T19:15:00,2024-07-07T19:40:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,78-99,D,DEPARTED,המריאה
B6,6457,JETBLUE AIRWAYS CORPORATION,2024-07-07T19:15:00,2024-07-07T19:40:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,78-99,D,DEPARTED,המריאה
DL,7432,DELTA AIRLINES,2024-07-07T19:15:00,2024-07-07T19:40:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,78-99,D,DEPARTED,המריאה
LY,011,EL AL ISRAEL AIRLINES,2024-07-07T19:15:00,2024-07-07T19:40:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,78-99,D,DEPARTED,המריאה
LY,5104,EL AL ISRAEL AIRLINES,2024-07-07T20:00:00,2024-07-07T19:44:00,A,BUS,BATUMI,בטומי,BATUMI,גיאורגיה,GEORGIA,3,,,LANDED,נחתה
LY,543,EL AL ISRAEL AIRLINES,2024-07-07T19:30:00,2024-07-07T19:44:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,78-99,D,DEPARTED,המריאה
5F,447,FLYONE,2024-07-07T19:40:00,2024-07-07T19:50:00,A,RMO,CHISINAU,קישינב,CHISINAU,מולדוביה,MOLDOVA,3,,,LANDED,נחתה
W4,2812,WIZZ AIR MALTA,2024-07-07T18:25:00,2024-07-07T19:51:00,D,VIE,VIENNA,וינה,VIENNA,אוסטריה,AUSTRIA,1,316-320,A,DEPARTED,המריאה
6H,516,ISRAIR AIRLINES,2024-07-07T19:55:00,2024-07-07T19:52:00,A,RHO,RHODES-PARADISI,רודוס,RHODES,יוון,GREECE,3,,,LANDED,נחתה
A4,5023,AZIMUTH AIRLINES,2024-07-07T19:30:00,2024-07-07T19:55:00,A,AER,SOCHI,סוצ'י,SOCHI,רוסיה,RUSSIAN FEDERATION,3,,,LANDED,נחתה
W4,3689,WIZZ AIR MALTA,2024-07-07T18:55:00,2024-07-07T19:57:00,A,IAS,IASI,יאסי,IASI,רומניה,ROMANIA,3,,,LANDED,נחתה
IZ,152,ARKIA  ISRAELI  AIRLINES,2024-07-07T20:00:00,2024-07-07T19:59:00,A,PFO,PAPHOS,פאפוס,PAPHOS,קפריסין,CYPRUS,3,,,LANDED,נחתה
BZ,441,BLUE BIRD AIRWAYS,2024-07-07T20:00:00,2024-07-07T20:01:00,A,BUD,BUDAPEST,בודפשט,BUDAPEST,הונגריה,HUNGARY,3,,,LANDED,נחתה
BZ,887,BLUE BIRD AIRWAYS,2024-07-07T18:00:00,2024-07-07T20:03:00,A,JMK,MIKONOS,מיקונוס,MYKONOS,יוון,GREECE,3,,,LANDED,נחתה
LY,612,EL AL ISRAEL AIRLINES,2024-07-07T20:25:00,2024-07-07T20:06:00,A,DME,MOSCOW-DOMODEDOVO,מוסקבה,MOSCOW,רוסיה,RUSSIAN FEDERATION,3,,,LANDED,נחתה
S7,4483,SIBERIA AIRLINES,2024-07-07T20:25:00,2024-07-07T20:06:00,A,DME,MOSCOW-DOMODEDOVO,מוסקבה,MOSCOW,רוסיה,RUSSIAN FEDERATION,3,,,LANDED,נחתה
EK,2471,EMIRATES,2024-07-07T19:50:00,2024-07-07T20:08:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,23-26,A,DEPARTED,המריאה
FZ,1126,FLYDUBAI,2024-07-07T19:50:00,2024-07-07T20:08:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,23-26,A,DEPARTED,המריאה
6H,891,ISRAIR AIRLINES,2024-07-07T19:40:00,2024-07-07T20:17:00,D,TBS,TBILISI,טביליסי,TBILISI,גיאורגיה,GEORGIA,1,311-314,A,DEPARTED,המריאה
IZ,1162,ARKIA  ISRAELI  AIRLINES,2024-07-07T20:35:00,2024-07-07T20:19:00,A,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,,,LANDED,נחתה
LY,5137,EL AL ISRAEL AIRLINES,2024-07-07T19:50:00,2024-07-07T20:25:00,D,PFO,PAPHOS,פאפוס,PAPHOS,קפריסין,CYPRUS,1,301-310,A,DEPARTED,המריאה
6H,532,ISRAIR AIRLINES,2024-07-07T20:15:00,2024-07-07T20:25:00,A,CFU,CORFU,קורפו,CORFU,יוון,GREECE,3,,,LANDED,נחתה
IZ,212,ARKIA  ISRAELI  AIRLINES,2024-07-07T17:55:00,2024-07-07T20:28:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,LANDED,נחתה
LY,2367,EL AL ISRAEL AIRLINES,2024-07-07T20:00:00,2024-07-07T20:31:00,D,BUD,BUDAPEST,בודפשט,BUDAPEST,הונגריה,HUNGARY,3,78-99,D,DEPARTED,המריאה
6H,046,ISRAIR AIRLINES,2024-07-07T20:15:00,2024-07-07T20:32:00,A,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,1,,,LANDED,נחתה
IZ,822,ARKIA  ISRAELI  AIRLINES,2024-07-07T20:40:00,2024-07-07T20:38:00,A,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,1,,,LANDED,נחתה
OS,862,AUSTRIAN AIRLINES,2024-07-07T18:35:00,2024-07-07T20:42:00,D,VIE,VIENNA,וינה,VIENNA,אוסטריה,AUSTRIA,3,12-22,A,DEPARTED,המריאה
LY,5133,EL AL ISRAEL AIRLINES,2024-07-07T20:30:00,2024-07-07T20:52:00,D,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,1,301-310,A,DEPARTED,המריאה
AM,7862,AERO MEXICO,2024-07-07T21:10:00,2024-07-07T20:56:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,LANDED,נחתה
LY,324,EL AL ISRAEL AIRLINES,2024-07-07T21:10:00,2024-07-07T20:56:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,LANDED,נחתה
SK,3160,SAS,2024-07-07T21:10:00,2024-07-07T20:56:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,LANDED,נחתה
W4,3690,WIZZ AIR MALTA,2024-07-07T19:55:00,2024-07-07T21:07:00,D,IAS,IASI,יאסי,IASI,רומניה,ROMANIA,1,316-320,A,DEPARTED,המריאה
A4,5024,AZIMUTH AIRLINES,2024-07-07T20:30:00,2024-07-07T21:09:00,D,AER,SOCHI,סוצ'י,SOCHI,רוסיה,RUSSIAN FEDERATION,3,56-58,C,DEPARTED,המריאה
LY,5109,EL AL ISRAEL AIRLINES,2024-07-07T21:00:00,2024-07-07T21:12:00,D,TBS,TBILISI,טביליסי,TBILISI,גיאורגיה,GEORGIA,1,301-310,A,DEPARTED,המריאה
LV,599,AIRZENA,2024-07-07T21:35:00,2024-07-07T21:17:00,A,TBS,TBILISI,טביליסי,TBILISI,גיאורגיה,GEORGIA,3,,,LANDED,נחתה
5F,448,FLYONE,2024-07-07T20:30:00,2024-07-07T21:18:00,D,RMO,CHISINAU,קישינב,CHISINAU,מולדוביה,MOLDOVA,3,59-61,C,DEPARTED,המריאה
U8,107,TUS AIRWAYS,2024-07-07T21:10:00,2024-07-07T21:22:00,D,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,37-40,B,DEPARTED,המריאה
BZ,566,BLUE BIRD AIRWAYS,2024-07-07T17:10:00,2024-07-07T21:26:00,D,VAR,VARNA,וארנה,VARNA,בולגריה,BULGARIA,3,64-66,C,DEPARTED,המריאה
6H,563,ISRAIR AIRLINES,2024-07-07T21:30:00,2024-07-07T21:46:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,49-52,B,DEPARTED,המריאה
IZ,827,ARKIA  ISRAELI  AIRLINES,2024-07-07T21:15:00,2024-07-07T21:53:00,D,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,1,349-354,C,DEPARTED,המריאה
6H,703,ISRAIR AIRLINES,2024-07-07T21:40:00,2024-07-07T22:00:00,D,OTP,BUCHAREST - OTOPENI,בוקרשט,BUCHAREST,רומניה,ROMANIA,3,46-49,B,DEPARTED,המריאה
BZ,751,BLUE BIRD AIRWAYS,2024-07-08T00:00:00,2024-07-07T22:01:00,A,HER,HERAKLION,הרקליון,HERAKLION,יוון,GREECE,3,,,LANDED,נחתה
U8,102,TUS AIRWAYS,2024-07-07T22:15:00,2024-07-07T22:04:00,A,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,,,LANDED,נחתה
6H,899,ISRAIR AIRLINES,2024-07-07T21:10:00,2024-07-07T22:05:00,D,TBS,TBILISI,טביליסי,TBILISI,גיאורגיה,GEORGIA,3,52-55,B,DEPARTED,המריאה
IZ,417,ARKIA  ISRAELI  AIRLINES,2024-07-07T18:40:00,2024-07-07T22:11:00,D,TBS,TBILISI,טביליסי,TBILISI,גיאורגיה,GEORGIA,1,332-337,B,DEPARTED,המריאה
IZ,1295,ARKIA  ISRAELI  AIRLINES,2024-07-07T21:35:00,2024-07-07T22:15:00,D,OTP,BUCHAREST - OTOPENI,בוקרשט,BUCHAREST,רומניה,ROMANIA,3,34-36,B,DEPARTED,המריאה
LY,546,EL AL ISRAEL AIRLINES,2024-07-07T22:30:00,2024-07-07T22:19:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,LANDED,נחתה
AI,140,AIR INDIA,2024-07-07T22:10:00,2024-07-07T22:20:00,D,DEL,DELHI,דלהי,NEW DELHI,הודו,INDIA,3,27-33,A,DEPARTED,המריאה
EK,2450,EMIRATES,2024-07-07T22:35:00,2024-07-07T22:24:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,LANDED,נחתה
FZ,1625,FLYDUBAI,2024-07-07T22:35:00,2024-07-07T22:24:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,LANDED,נחתה
J2,321,AZERBAIJAN AIRLINES,2024-07-07T21:05:00,2024-07-07T22:26:00,A,GYD,BAKU HEYDAR ALIYEV INT`L,באקו,BAKU,אזרביג'אן,AZERBAIJAN,3,,,LANDED,נחתה
XR,744,CORENDON EUROPE,2024-07-07T22:55:00,2024-07-07T22:30:00,A,TGD,PODGORICA,פודגוריצה,PODGORICA,מונטנגרו,MONTENEGRO,3,,,LANDED,נחתה
BZ,701,BLUE BIRD AIRWAYS,2024-07-07T22:50:00,2024-07-07T22:37:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,LANDED,נחתה
B6,6464,JETBLUE AIRWAYS CORPORATION,2024-07-07T23:35:00,2024-07-07T22:42:00,A,LAX,LOS ANGELES,לוס אנג'לס,LOS ANGELES,ארצות הברית,UNITED STATES,3,,,LANDED,נחתה
DL,7445,DELTA AIRLINES,2024-07-07T23:35:00,2024-07-07T22:42:00,A,LAX,LOS ANGELES,לוס אנג'לס,LOS ANGELES,ארצות הברית,UNITED STATES,3,,,LANDED,נחתה
LY,106,EL AL ISRAEL AIRLINES,2024-07-07T23:35:00,2024-07-07T22:42:00,A,LAX,LOS ANGELES,לוס אנג'לס,LOS ANGELES,ארצות הברית,UNITED STATES,3,,,LANDED,נחתה
H7,457,HISKY,2024-07-07T22:55:00,2024-07-07T22:53:00,A,RMO,CHISINAU,קישינב,CHISINAU,מולדוביה,MOLDOVA,3,,,LANDED,נחתה
LH,690,LUFTHANSA,2024-07-07T23:10:00,2024-07-07T22:57:00,A,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,,,LANDED,נחתה
SN,7169,BRUSSELS AIRLINES,2024-07-07T23:10:00,2024-07-07T22:57:00,A,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,,,LANDED,נחתה
UA,9122,UNITED AIRLINES,2024-07-07T23:10:00,2024-07-07T22:57:00,A,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,,,LANDED,נחתה
ET,414,ETHIOPIAN AIRLINES,2024-07-07T22:40:00,2024-07-07T23:08:00,A,ADD,ADDIS ABABA,אדיס אבבה,ADDIS ABABA,אתיופיה,ETHIOPIA,3,,,LANDED,נחתה
DL,7453,DELTA AIRLINES,2024-07-07T22:00:00,2024-07-07T23:13:00,A,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,,,LANDED,נחתה
LY,316,EL AL ISRAEL AIRLINES,2024-07-07T22:00:00,2024-07-07T23:13:00,A,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,,,LANDED,נחתה
VS,7494,VIRGIN ATLANTIC AIRWAYS,2024-07-07T22:00:00,2024-07-07T23:13:00,A,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,,,LANDED,נחתה
LY,5138,EL AL ISRAEL AIRLINES,2024-07-07T23:10:00,2024-07-07T23:18:00,A,PFO,PAPHOS,פאפוס,PAPHOS,קפריסין,CYPRUS,3,,,LANDED,נחתה
EK,2345,EMIRATES,2024-07-07T23:30:00,2024-07-07T23:20:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,LANDED,נחתה
FZ,1807,FLYDUBAI,2024-07-07T23:30:00,2024-07-07T23:20:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,LANDED,נחתה
LY,5134,EL AL ISRAEL AIRLINES,2024-07-07T23:45:00,2024-07-07T23:21:00,A,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,,,LANDED,נחתה
RO,2153,TAROM - ROMANIAN AIR TRANSPORT,2024-07-07T23:20:00,2024-07-07T23:26:00,A,OTP,BUCHAREST - OTOPENI,בוקרשט,BUCHAREST,רומניה,ROMANIA,3,,,LANDED,נחתה
BZ,114,BLUE BIRD AIRWAYS,2024-07-07T18:55:00,2024-07-07T23:36:00,D,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,62-64,C,DEPARTED,המריאה
UA,091,UNITED AIRLINES,2024-07-07T23:25:00,2024-07-07T23:45:00,D,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,12-20,A,DEPARTED,המריאה
J2,022,AZERBAIJAN AIRLINES,2024-07-07T22:25:00,2024-07-07T23:47:00,D,GYD,BAKU HEYDAR ALIYEV INT`L,באקו,BAKU,אזרביג'אן,AZERBAIJAN,3,41-44,B,DEPARTED,המריאה
IZ,828,ARKIA  ISRAELI  AIRLINES,2024-07-07T23:40:00,2024-07-07T23:48:00,A,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,1,,,LANDED,נחתה
6H,726,ISRAIR AIRLINES,2024-07-07T23:40:00,2024-07-07T23:55:00,A,BUD,BUDAPEST,בודפשט,BUDAPEST,הונגריה,HUNGARY,3,,,LANDED,נחתה
AF,7074,AIR FRANCE,2024-07-08T00:10:00,2024-07-07T23:58:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,LANDED,נחתה
LY,328,EL AL ISRAEL AIRLINES,2024-07-08T00:10:00,2024-07-07T23:58:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,LANDED,נחתה
SK,3162,SAS,2024-07-08T00:10:00,2024-07-07T23:58:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,LANDED,נחתה
EK,2451,EMIRATES,2024-07-07T23:55:00,2024-07-08T00:02:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,23-26,A,DEPARTED,המריאה
FZ,1626,FLYDUBAI,2024-07-07T23:55:00,2024-07-08T00:02:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,23-26,A,DEPARTED,המריאה
6H,730,ISRAIR AIRLINES,2024-07-07T23:45:00,2024-07-08T00:05:00,A,BOJ,BURGAS,בורגס,BOURGAS,בולגריה,BULGARIA,3,,,LANDED,נחתה
H7,458,HISKY,2024-07-07T23:55:00,2024-07-08T00:07:00,D,RMO,CHISINAU,קישינב,CHISINAU,מולדוביה,MOLDOVA,3,34-36,B,DEPARTED,המריאה
LY,5184,EL AL ISRAEL AIRLINES,2024-07-08T00:05:00,2024-07-08T00:09:00,A,BUS,BATUMI,בטומי,BATUMI,גיאורגיה,GEORGIA,3,,,LANDED,נחתה
LY,084,EL AL ISRAEL AIRLINES,2024-07-07T23:40:00,2024-07-08T00:11:00,A,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,,,LANDED,נחתה
QF,5019,QANTAS AIRWAYS,2024-07-07T23:40:00,2024-07-08T00:11:00,A,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,,,LANDED,נחתה
TG,4585,THAI AIRWAYS,2024-07-07T23:40:00,2024-07-08T00:11:00,A,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,,,LANDED,נחתה
VN,3295,VIETNAM AIRLINES,2024-07-07T23:40:00,2024-07-08T00:11:00,A,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,,,LANDED,נחתה
6H,252,ISRAIR AIRLINES,2024-07-08T00:05:00,2024-07-08T00:17:00,A,BER,BERLIN BRANDENBURG INTL,ברלין,BERLIN,גרמניה,GERMANY,3,,,LANDED,נחתה
LH,682,LUFTHANSA,2024-07-08T00:25:00,2024-07-08T00:21:00,A,MUC,MUNICH,מינכן,MUNICH,גרמניה,GERMANY,3,,,LANDED,נחתה
LY,081,EL AL ISRAEL AIRLINES,2024-07-07T23:55:00,2024-07-08T00:21:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,78-99,D,DEPARTED,המריאה
QF,5020,QANTAS AIRWAYS,2024-07-07T23:55:00,2024-07-08T00:21:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,78-99,D,DEPARTED,המריאה
SN,7165,BRUSSELS AIRLINES,2024-07-08T00:25:00,2024-07-08T00:21:00,A,MUC,MUNICH,מינכן,MUNICH,גרמניה,GERMANY,3,,,LANDED,נחתה
TG,4584,THAI AIRWAYS,2024-07-07T23:55:00,2024-07-08T00:21:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,78-99,D,DEPARTED,המריאה
VN,3298,VIETNAM AIRLINES,2024-07-07T23:55:00,2024-07-08T00:21:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,78-99,D,DEPARTED,המריאה
